date;Prix;Production
1960;95;94619
1961;95;80998
1962;70;103038
1963;70;98319
1964;76,8;147529
1965;76,96;113287
1966;61,96;149662
1967;77,12;146817
1968;77,95;141778
1969;74,2;183012
1970;86,2;182176
1971;85;227787
1972;85;182797
1973;110;213951
1974;175;245000
1975;175;234636
1976;180;235800
1977;250;306000
1978;250;311800
1979;300;379400
1980;300;418300
1981;300;471700
1982;300;365900
1983;350;417700
1984;375;570900
1985;375;555115
1986;400;610680
1987;400;673876
1988;400;848863
1989;400;724701
1990;200;804250
1991;200;747724
1992;200;696969
1993;200;887474
1994;240;862000
1995;398;1264831
1996;320;1129954
1997;320;1090304
1998;455;1175390
1999;575;
2000;;1212427
2001;;1264707
2002;475;1277000
2003;385;1247400
2004;324;1377700
2005;343;1455800
2006;380;1367200
2007;467;1382441
2008;620;1223152
2009;979;1242293
2010;756;1301671
2011;657;1559441
2012;725;1499096
2013;750;1746204
2014;850;1678718
2015;1100;1300000
2016;700;2015000
2017;750;2020000
2018;825;1964000
2019;825;2150000
2020;1000;2105000
2021;750;2248000
2022;825;2200000
2023;1000;2230000
2024;1500;1750000
